#
#model:
#
#<?xml version="1.0" encoding="UTF-8" standalone="no"?><input id="posterior" spec="beast.base.inference.CompoundDistribution">
#    <distribution id="prior" spec="beast.base.inference.CompoundDistribution">
#        <distribution id="CoalescentConstant.t:HBV" spec="beast.base.evolution.tree.coalescent.Coalescent">
#            <populationModel id="ConstantPopulation.t:HBV" spec="beast.base.evolution.tree.coalescent.ConstantPopulation">
#                <parameter id="popSize.t:HBV" lower="0.0" name="popSize" spec="beast.base.inference.parameter.RealParameter">0.3</parameter>
#            </populationModel>
#            <treeIntervals id="TreeIntervals.t:HBV" spec="beast.base.evolution.tree.TreeIntervals">
#                <tree id="Tree.t:HBV" spec="beast.base.evolution.tree.Tree">
#                    <trait id="dateTrait.t:HBV" spec="beast.base.evolution.tree.TraitSet" traitname="date" value="AB033550_1988_33.3431887795_134.9307404236=1988,AB033554_1985_-2.3045941592_118.5275669247=1985,AB111946_1998_15.880672531_106.7863444469=1998,AB112066_1999_15.2357758333_97.1170427803=1999,AB112471_2002_10.826174473_100.0321841486=2002,AB117759_2004_11.8647366524_104.4581350327=2004,AB198076_2001_31.3068442593_109.4304560078=2001,AB205128_2000_67.7822238778_83.2782706988=2000,AB205190_2000_7.0869990345_-0.6788566207=2000,AB219428_2002_11.4823584448_122.5890168578=2002,AJ344117_1990_46.339250578_1.5156738165=1990,AY341335_2003_37.779236413_24.2931907174=2003,AY641558_2003_39.8942378947_126.8819515526=2003,AY721605_2004_39.1656946813_32.8656198791=2004,AY738147_1998_-4.6027905391_22.3356877351=1998,DQ060824_1983_-21.3700228571_19.1068796429=1983,DQ315776_2000_17.9831869307_84.5569572724=2000">
#                        <taxa id="TaxonSet.HBV" spec="beast.base.evolution.alignment.TaxonSet">
#                        </taxa>
#                    </trait>
#                    <taxonset idref="TaxonSet.HBV"/>
#                </tree>
#            </treeIntervals>
#        </distribution>
#        <prior id="FrequenciesPrior.s:HBV" name="distribution">
#            <parameter dimension="4" id="freqParameter.s:HBV" lower="0.0" name="x" spec="beast.base.inference.parameter.RealParameter" upper="1.0">0.25</parameter>
#            <distr id="Dirichlet.0" spec="beast.base.inference.distribution.Dirichlet">
#                <parameter dimension="4" estimate="false" id="RealParameter.7" name="alpha" spec="beast.base.inference.parameter.RealParameter">4.0 4.0 4.0 4.0</parameter>
#            </distr>
#        </prior>
#        <prior id="KappaPrior.s:HBV" name="distribution">
#            <parameter id="kappa.s:HBV" lower="0.0" name="x" spec="beast.base.inference.parameter.RealParameter">2.0</parameter>
#            <LogNormal id="LogNormalDistributionModel.1" name="distr">
#                <parameter estimate="false" id="RealParameter.5" name="M" spec="beast.base.inference.parameter.RealParameter">1.0</parameter>
#                <parameter estimate="false" id="RealParameter.6" name="S" spec="beast.base.inference.parameter.RealParameter">1.25</parameter>
#            </LogNormal>
#        </prior>
#        <prior id="PopSizePrior.t:HBV" name="distribution" x="@popSize.t:HBV">
#            <Gamma id="Gamma.2" name="distr">
#                <parameter estimate="false" id="RealParameter.8" name="alpha" spec="beast.base.inference.parameter.RealParameter">0.01</parameter>
#                <parameter estimate="false" id="RealParameter.9" name="beta" spec="beast.base.inference.parameter.RealParameter">100.0</parameter>
#            </Gamma>
#        </prior>
#    </distribution>
#    <distribution id="likelihood" spec="beast.base.inference.CompoundDistribution" useThreads="true">
#        <distribution data="@HBV" id="treeLikelihood.HBV" spec="beast.base.evolution.likelihood.ThreadedTreeLikelihood" tree="@Tree.t:HBV">
#            <siteModel id="SiteModel.s:HBV" spec="beast.base.evolution.sitemodel.SiteModel">
#                <parameter estimate="false" id="mutationRate.s:HBV" lower="0.0" name="mutationRate" spec="beast.base.inference.parameter.RealParameter">1.0</parameter>
#                <parameter estimate="false" id="gammaShape.s:HBV" lower="0.1" name="shape" spec="beast.base.inference.parameter.RealParameter">1.0</parameter>
#                <parameter estimate="false" id="proportionInvariant.s:HBV" lower="0.0" name="proportionInvariant" spec="beast.base.inference.parameter.RealParameter" upper="1.0">0.0</parameter>
#                <substModel id="hky.s:HBV" kappa="@kappa.s:HBV" spec="beast.base.evolution.substitutionmodel.HKY">
#                    <frequencies frequencies="@freqParameter.s:HBV" id="estimatedFreqs.s:HBV" spec="beast.base.evolution.substitutionmodel.Frequencies"/>
#                </substModel>
#            </siteModel>
#            <branchRateModel id="StrictClock.c:HBV" spec="beast.base.evolution.branchratemodel.StrictClockModel">
#                <parameter estimate="false" id="clockRate.c:HBV" lower="0.0" name="clock.rate" spec="beast.base.inference.parameter.RealParameter">2.0E-5</parameter>
#            </branchRateModel>
#        </distribution>
#    </distribution>
#</input>
#
Sample	NSlikelihood	posterior	likelihood	prior	treeLikelihood	Tree.height	Tree.treeLength	kappa	freqParameter.1	freqParameter.2	freqParameter.3	freqParameter.4	popSize	CoalescentConstant
0	-45431.35001628914	-45419.79101470063	-45431.35001628914	11.559001588513032	-45431.35001628914	21.102082496567412	23.507703884688247	0.961371005265752	0.2562443686233004	0.24540031128630263	0.2575794841400807	0.24077583595031626	0.22744521179179644	12.097345387436487
1	-43879.07940541075	-43870.37228253075	-43879.07940541075	8.707122879995124	-43879.07940541075	21.10949568575315	23.810137820908647	1.8917121602286715	0.3050858430986194	0.15595892477079515	0.24382089252462788	0.29513433960595775	0.20766473606761218	9.91891618685272
2	-43478.16002325839	-43480.75072857286	-43478.16002325839	-2.5907053144665912	-43478.16002325839	21.150554287430218	26.36890575301342	0.74057965635741	0.1806488103070186	0.19547465665323288	0.1823250891204053	0.44155144391934315	0.2299960335008715	-1.1584265323308922
3	-43323.17827966469	-43330.472226982754	-43323.17827966469	-7.293947318066236	-43323.17827966469	21.86845323493435	28.443977132434338	1.7332807618590935	0.31035878735012384	0.1506859805192907	0.24382089252462788	0.29513433960595775	0.4052094601686429	-5.43133285639731
4	-43320.013080197816	-43315.43809983239	-43320.013080197816	4.574980365425006	-43320.013080197816	21.245297906715596	24.795206703736145	3.578019892778584	0.2054957972654406	0.3851427500205258	0.16258764457200667	0.24677380814202687	0.24810083918975592	6.8087131233062275
5	-43297.04112191684	-43291.011954744565	-43297.04112191684	6.0291671722725715	-43297.04112191684	21.007163523296164	24.387326383461723	1.1116532032418758	0.26271415070336546	0.2412568892402735	0.2552531241060448	0.24077583595031626	0.22828329077848508	6.6300351462308935
6	-43279.302531183355	-43275.44279107512	-43279.302531183355	3.85974010823674	-43279.302531183355	21.182181702769597	24.679983524844687	0.6559752276240247	0.1811169268934945	0.2000133737478389	0.1805199351657208	0.4383497641929457	0.3061280928602789	5.535274491844986
7	-43165.62494160789	-43170.51491773431	-43165.62494160789	-4.889976126421419	-43165.62494160789	21.35966061867239	27.20754508275213	0.7054706672035281	0.4572141686897805	0.11514348007320531	0.2860758627783515	0.14156648845866254	0.4117311168661032	-2.0236472264273866
8	-43134.15641187175	-43138.34460348201	-43134.15641187175	-4.188191610253888	-43134.15641187175	21.102789595342728	27.486412727413366	0.6516023163042631	0.18345188209317145	0.17963745545489077	0.18250330112346222	0.4544073613284754	0.4287773978023305	-2.0352645103600544
9	-42696.88765586834	-42702.31830676772	-42696.88765586834	-5.430650899379534	-42696.88765586834	21.574357230535625	27.698986094787237	0.6603293800329607	0.1770579956535566	0.1949416911427064	0.18914959956187977	0.4388507136418572	0.3397913975606918	-3.649354274569494
10	-42576.056545962805	-42591.80840013657	-42576.056545962805	-15.751854173763363	-42576.056545962805	21.276226549403823	31.194053199361946	0.6532506685115329	0.1806488103070186	0.19759600966307247	0.18555878490841776	0.4361963951214911	1.0173737373181153	-12.904185690312032
11	-42400.44675092976	-42404.975248369214	-42400.44675092976	-4.528497439450298	-42400.44675092976	21.38930868922587	26.968772061754457	0.6532506685115329	0.1806488103070186	0.2000133737478389	0.18555878490841776	0.43377903103672466	0.2683601133374678	-3.0274495610011
12	-42286.79668706862	-42299.6009062883	-42286.79668706862	-12.804219219684393	-42286.79668706862	23.098539182796145	32.44053369052569	1.517993670940419	0.11529352531145598	0.22301645419318847	0.24219346312500897	0.4194965573703465	0.6163261221753492	-9.853299951268461
13	-41892.93626127714	-41902.136311787115	-41892.93626127714	-9.200050509976274	-41892.93626127714	21.76181623227184	29.98392976494446	0.7499166642587545	0.1770972910879229	0.17963745545489077	0.18250330112346222	0.46076195233372397	0.508685219796783	-6.79465754239321
14	-41800.71754455444	-41814.37933762657	-41800.71754455444	-13.661793072126002	-41800.71754455444	21.15906232226762	31.159671748537782	0.8894702430819608	0.26111794194937316	0.2434803679047374	0.2575794841400807	0.23782220600580878	0.7568494408230089	-11.947943100535232
15	-41685.31857061273	-41710.296994679775	-41685.31857061273	-24.97842406704139	-41685.31857061273	23.815526221714745	38.54594695856369	2.246895655580347	0.06204963047814477	0.3427609502990695	0.14674626465737747	0.44844315456540823	0.9657821401698715	-19.411999439662278
16	-41573.92685464814	-41611.87135202152	-41573.92685464814	-37.94449737337988	-41573.92685464814	23.999015160380566	54.86386561240987	0.9603515777310173	0.22401170090015593	0.23638909493280313	0.18526205438962165	0.35433714977741915	3.869094495387955	-34.2195058979644
17	-41386.72906954536	-41410.893704829716	-41386.72906954536	-24.164635284354283	-41386.72906954536	24.93521036312969	43.52870122749758	0.6736019810879336	0.16989049919965118	0.2039085631562039	0.1964494953589125	0.4297514422852324	1.3814808682763913	-21.044051406076658
18	-41278.650083142544	-41310.13535578105	-41278.650083142544	-31.485272638503957	-41278.650083142544	22.09819929257819	47.30525621605123	1.7414512775649567	0.31035878735012384	0.1506859805192907	0.24382089252462788	0.29513433960595775	2.209910462473036	-27.921915500581896
