#
#model:
#
#<?xml version="1.0" encoding="UTF-8" standalone="no"?><input id="posterior" spec="beast.base.inference.CompoundDistribution">
#    <distribution id="prior" spec="beast.base.inference.CompoundDistribution">
#        <distribution id="CoalescentConstant.t:HBV" spec="beast.base.evolution.tree.coalescent.Coalescent">
#            <populationModel id="ConstantPopulation.t:HBV" spec="beast.base.evolution.tree.coalescent.ConstantPopulation">
#                <parameter id="popSize.t:HBV" lower="0.0" name="popSize" spec="beast.base.inference.parameter.RealParameter">0.3</parameter>
#            </populationModel>
#            <treeIntervals id="TreeIntervals.t:HBV" spec="beast.base.evolution.tree.TreeIntervals">
#                <tree id="Tree.t:HBV" spec="beast.base.evolution.tree.Tree">
#                    <trait id="dateTrait.t:HBV" spec="beast.base.evolution.tree.TraitSet" traitname="date" value="AB033550_1988_33.3431887795_134.9307404236=1988,AB033554_1985_-2.3045941592_118.5275669247=1985,AB111946_1998_15.880672531_106.7863444469=1998,AB112066_1999_15.2357758333_97.1170427803=1999,AB112471_2002_10.826174473_100.0321841486=2002,AB117759_2004_11.8647366524_104.4581350327=2004,AB198076_2001_31.3068442593_109.4304560078=2001,AB205128_2000_67.7822238778_83.2782706988=2000,AB205190_2000_7.0869990345_-0.6788566207=2000,AB219428_2002_11.4823584448_122.5890168578=2002,AJ344117_1990_46.339250578_1.5156738165=1990,AY341335_2003_37.779236413_24.2931907174=2003,AY641558_2003_39.8942378947_126.8819515526=2003,AY721605_2004_39.1656946813_32.8656198791=2004,AY738147_1998_-4.6027905391_22.3356877351=1998,DQ060824_1983_-21.3700228571_19.1068796429=1983,DQ315776_2000_17.9831869307_84.5569572724=2000">
#                        <taxa id="TaxonSet.HBV" spec="beast.base.evolution.alignment.TaxonSet">
#                        </taxa>
#                    </trait>
#                    <taxonset idref="TaxonSet.HBV"/>
#                </tree>
#            </treeIntervals>
#        </distribution>
#        <prior id="FrequenciesPrior.s:HBV" name="distribution">
#            <parameter dimension="4" id="freqParameter.s:HBV" lower="0.0" name="x" spec="beast.base.inference.parameter.RealParameter" upper="1.0">0.25</parameter>
#            <distr id="Dirichlet.0" spec="beast.base.inference.distribution.Dirichlet">
#                <parameter dimension="4" estimate="false" id="RealParameter.7" name="alpha" spec="beast.base.inference.parameter.RealParameter">4.0 4.0 4.0 4.0</parameter>
#            </distr>
#        </prior>
#        <prior id="KappaPrior.s:HBV" name="distribution">
#            <parameter id="kappa.s:HBV" lower="0.0" name="x" spec="beast.base.inference.parameter.RealParameter">2.0</parameter>
#            <LogNormal id="LogNormalDistributionModel.1" name="distr">
#                <parameter estimate="false" id="RealParameter.5" name="M" spec="beast.base.inference.parameter.RealParameter">1.0</parameter>
#                <parameter estimate="false" id="RealParameter.6" name="S" spec="beast.base.inference.parameter.RealParameter">1.25</parameter>
#            </LogNormal>
#        </prior>
#        <prior id="PopSizePrior.t:HBV" name="distribution" x="@popSize.t:HBV">
#            <Gamma id="Gamma.2" name="distr">
#                <parameter estimate="false" id="RealParameter.8" name="alpha" spec="beast.base.inference.parameter.RealParameter">0.01</parameter>
#                <parameter estimate="false" id="RealParameter.9" name="beta" spec="beast.base.inference.parameter.RealParameter">100.0</parameter>
#            </Gamma>
#        </prior>
#    </distribution>
#    <distribution id="likelihood" spec="beast.base.inference.CompoundDistribution" useThreads="true">
#        <distribution data="@HBV" id="treeLikelihood.HBV" spec="beast.base.evolution.likelihood.ThreadedTreeLikelihood" tree="@Tree.t:HBV">
#            <siteModel id="SiteModel.s:HBV" spec="beast.base.evolution.sitemodel.SiteModel">
#                <parameter estimate="false" id="mutationRate.s:HBV" lower="0.0" name="mutationRate" spec="beast.base.inference.parameter.RealParameter">1.0</parameter>
#                <parameter estimate="false" id="gammaShape.s:HBV" lower="0.1" name="shape" spec="beast.base.inference.parameter.RealParameter">1.0</parameter>
#                <parameter estimate="false" id="proportionInvariant.s:HBV" lower="0.0" name="proportionInvariant" spec="beast.base.inference.parameter.RealParameter" upper="1.0">0.0</parameter>
#                <substModel id="hky.s:HBV" kappa="@kappa.s:HBV" spec="beast.base.evolution.substitutionmodel.HKY">
#                    <frequencies frequencies="@freqParameter.s:HBV" id="estimatedFreqs.s:HBV" spec="beast.base.evolution.substitutionmodel.Frequencies"/>
#                </substModel>
#            </siteModel>
#            <branchRateModel id="StrictClock.c:HBV" spec="beast.base.evolution.branchratemodel.StrictClockModel">
#                <parameter estimate="false" id="clockRate.c:HBV" lower="0.0" name="clock.rate" spec="beast.base.inference.parameter.RealParameter">2.0E-5</parameter>
#            </branchRateModel>
#        </distribution>
#    </distribution>
#</input>
#
Sample	posterior	likelihood	prior	treeLikelihood	Tree.height	Tree.treeLength	kappa	freqParameter.1	freqParameter.2	freqParameter.3	freqParameter.4	popSize	CoalescentConstant
0	-40250.87002052329	-40232.585260495034	-18.284760028258408	-40232.585260495034	21.07188809278592	29.0336313600888	2.0	0.25	0.25	0.25	0.25	0.3	-17.05950266415488
1000	-19559.06316217966	-19451.679741617718	-107.3834205619408	-19451.679741617718	601.4138295089897	1730.894621580772	2.0	0.25	0.25	0.25	0.25	187.5550829860181	-97.91194743928413
2000	-15613.421225204112	-15466.763586891322	-146.65763831279065	-15466.763586891322	2267.3324984361716	8347.92529385604	2.0	0.25	0.25	0.25	0.25	477.8899571538627	-133.3568616149455
3000	-13446.598257922418	-13277.54964539749	-169.04861252492807	-13277.54964539749	3246.832222033767	14732.865089530185	2.0	0.25	0.25	0.25	0.25	1133.481465663165	-148.3368888007022
4000	-12885.669388965216	-12703.810678867041	-181.85871009817512	-12703.810678867041	3615.7745951571364	18216.445111924448	2.0	0.25	0.25	0.25	0.25	1506.2333548514994	-157.13799243628156
5000	-12612.999681554165	-12424.040151215831	-188.9595303383348	-12424.040151215831	3678.8639640319952	19429.992161833805	2.0	0.25	0.25	0.25	0.25	1967.9509449983802	-159.356929778495
6000	-12552.624483341917	-12357.635013900108	-194.98946944180915	-12357.635013900108	3322.7883736333615	19879.127011507724	2.0	0.25	0.25	0.25	0.25	2513.917513216658	-159.68480226739274
7000	-12532.40333534358	-12335.769994848515	-196.63334049506477	-12335.769994848515	3499.59987303897	20214.14723771136	2.6498691300285495	0.22820270369021106	0.23647978528756106	0.22891906586200877	0.306398445160219	2859.924733892408	-157.39502208933646
8000	-12523.806572531923	-12328.627875690641	-195.1786968412821	-12328.627875690641	3301.462626663739	19865.54365447096	2.6498691300285495	0.22820270369021106	0.23647978528756106	0.22891906586200877	0.306398445160219	2216.8866480312963	-162.6229038859717
9000	-12521.315159835345	-12326.450038393488	-194.8651214418563	-12326.450038393488	3245.421193026827	19585.779715436078	2.6498691300285495	0.22820270369021106	0.23647978528756106	0.22891906586200877	0.306398445160219	2173.840431351509	-162.75920298263577
10000	-12526.239443379045	-12329.866136553928	-196.37330682511626	-12329.866136553928	3258.9898590269095	20269.97901315132	2.6498691300285495	0.22820270369021106	0.23647978528756106	0.22891906586200877	0.306398445160219	2173.840431351509	-164.26738836589573
11000	-12522.82348953731	-12327.065982224802	-195.75750731250724	-12327.065982224802	3332.556995569594	20139.493299299636	2.6498691300285495	0.22820270369021106	0.23647978528756106	0.22891906586200877	0.306398445160219	2112.388539394617	-164.2944970830688
12000	-12524.799581054067	-12327.715180856341	-197.08440019772516	-12327.715180856341	3372.2973636577412	20654.16935043967	2.9045313262231276	0.22820270369021106	0.23647978528756106	0.22891906586200877	0.306398445160219	2112.388539394617	-165.5284306562458
13000	-12524.83544423659	-12328.05440850078	-196.7810357358094	-12328.05440850078	3297.889249828874	20508.109816705277	2.901559136850496	0.22820270369021106	0.23647978528756106	0.22891906586200877	0.306398445160219	2112.388539394617	-165.22613310111362
14000	-12521.275032539403	-12324.653436871578	-196.62159566782373	-12324.653436871578	3429.49160824847	20783.14789324454	2.901559136850496	0.22820270369021106	0.2383176188027431	0.22708123234682673	0.306398445160219	2163.320526869135	-164.53282902842938
15000	-12525.772589185535	-12324.236945557719	-201.53564362781628	-12324.236945557719	3446.074453241169	21477.44961076281	2.901559136850496	0.22820270369021106	0.2383176188027431	0.22708123234682673	0.306398445160219	1943.5676285387517	-171.75045383543286
16000	-12520.636902995693	-12322.905687225297	-197.73121577039655	-12322.905687225297	3438.247148387712	20899.689521062453	2.901559136850496	0.22820270369021106	0.2381592748119964	0.22723957633757344	0.306398445160219	2073.2323596009824	-166.58553809533882
17000	-12524.592602570905	-12329.921437595813	-194.67116497509232	-12329.921437595813	3709.424422341691	20551.3065827265	2.901559136850496	0.22820270369021106	0.2381592748119964	0.22723957633757344	0.306398445160219	1953.152702392551	-164.78535130960913
18000	-12521.04577515873	-12323.363512368482	-197.68226279024788	-12323.363512368482	3510.3108495982997	20912.471544504435	2.901559136850496	0.22820270369021106	0.2381592748119964	0.22723957633757344	0.306398445160219	2403.190362883404	-163.0907937082119
19000	-12523.130082817808	-12328.883723581199	-194.24635923660864	-12328.883723581199	3314.499767653823	19328.744684006597	2.677081792794802	0.22820270369021106	0.2381592748119964	0.22723957633757344	0.306398445160219	2486.3183136836433	-158.8717534624946
20000	-12520.320325170165	-12322.529662789273	-197.79066238089285	-12322.529662789273	3414.5132074696653	20800.20174398486	2.677081792794802	0.22820270369021106	0.2381592748119964	0.22723957633757344	0.306398445160219	2263.654192362627	-164.73558221440072
21000	-12523.156947990245	-12325.844964907468	-197.31198308277638	-12325.844964907468	3404.4943217671916	20632.59058212482	2.677081792794802	0.22820270369021106	0.2381592748119964	0.22723957633757344	0.306398445160219	2115.694506879835	-165.803421074493
